fonte,motorista,rotulo_evento,comportamento,magnitude_pico_ms2,evento_detectado
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.04046213278522,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.64662652697111,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.64662652697111,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.64662652697111,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.64662652697111,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.64662652697111,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.64662652697111,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.64662652697111,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.64662652697111,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.64662652697111,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.64662652697111,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.459399827170356,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.224167772941422,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.224167772941422,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.281309849961428,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.281309849961428,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.281309849961428,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.281309849961428,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.196197038760048,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.196197038760048,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.196197038760048,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.274583296357213,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.277107777087456,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.442791877455937,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.442791877455937,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.442791877455937,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.442791877455937,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.442791877455937,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.442791877455937,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.442791877455937,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.442791877455937,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.442791877455937,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.442791877455937,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.442791877455937,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.536766177780079,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.18533120162435,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.18533120162435,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.18533120162435,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.18533120162435,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.18533120162435,False
